시군구명,연령(구분),사업장가입자,지역가입자,임의가입자,임의계속가입자
부산광역시 수영구,35_39,2792,2595,37,0
부산광역시 사상구,18_19,113,127,10,0
부산광역시 사상구,20_24,1892,1975,22,0
부산광역시 사상구,25_29,6111,3008,6,0
부산광역시 사상구,30_34,7535,2933,6,0
부산광역시 사상구,35_39,6878,2191,31,0
부산광역시 기장군,18_19,171,147,14,0
부산광역시 기장군,20_24,1512,1403,26,0
부산광역시 기장군,25_29,4154,2015,8,0
부산광역시 기장군,30_34,5335,2108,16,0
부산광역시 기장군,35_39,5353,1967,73,0
대구광역시 중구,18_19,150,61,11,0
대구광역시 중구,20_24,2638,1074,22,0
대구광역시 중구,25_29,6534,1928,7,0
대구광역시 중구,30_34,6237,1855,10,0
대구광역시 중구,35_39,4661,1436,35,0
대구광역시 동구,18_19,153,177,22,0
대구광역시 동구,20_24,2122,2750,62,0
대구광역시 동구,25_29,7405,5037,22,0
대구광역시 동구,30_34,9238,4970,37,0
대구광역시 동구,35_39,7863,3968,96,0
대구광역시 서구,18_19,58,73,4,0
대구광역시 서구,20_24,986,1219,14,0
대구광역시 서구,25_29,3163,2423,3,0
대구광역시 서구,30_34,3621,2526,11,0
대구광역시 서구,35_39,3383,1911,23,0
대구광역시 남구,18_19,42,88,7,0
대구광역시 남구,20_24,921,1384,21,0
대구광역시 남구,25_29,2802,2468,6,0
대구광역시 남구,30_34,2953,2505,3,0
대구광역시 남구,35_39,2430,1917,12,0
대구광역시 북구,18_19,158,314,28,0
대구광역시 북구,20_24,2519,4760,119,0
대구광역시 북구,25_29,7041,7386,25,0
대구광역시 북구,30_34,8655,5952,29,0
대구광역시 북구,35_39,7970,4553,85,0
대구광역시 수성구,18_19,219,245,79,0
대구광역시 수성구,20_24,2604,3585,214,0
대구광역시 수성구,25_29,7503,6437,60,0
대구광역시 수성구,30_34,8311,5683,14,0
대구광역시 수성구,35_39,6632,4160,106,0
대구광역시 달서구,18_19,258,331,53,0
대구광역시 달서구,20_24,3935,5167,146,0
대구광역시 달서구,25_29,12083,8515,33,0
대구광역시 달서구,30_34,13941,7652,43,0
대구광역시 달서구,35_39,12522,5732,120,0
대구광역시 달성군,18_19,196,152,14,0
대구광역시 달성군,20_24,1878,1908,29,0
대구광역시 달성군,25_29,5952,3207,11,0
대구광역시 달성군,30_34,8200,3140,21,0
대구광역시 달성군,35_39,8244,3001,79,0
인천광역시 중구,18_19,669,124,11,0
인천광역시 중구,20_24,4101,1359,32,0
인천광역시 중구,25_29,9565,2112,11,0
인천광역시 중구,30_34,9631,2409,18,0
인천광역시 중구,35_39,7630,2216,46,0
인천광역시 동구,18_19,10,36,1,0
인천광역시 동구,20_24,529,488,7,0
인천광역시 동구,25_29,1806,769,3,0
인천광역시 동구,30_34,2390,741,4,0
인천광역시 동구,35_39,2754,673,9,0
인천광역시 미추홀구,18_19,138,258,18,0
인천광역시 미추홀구,20_24,2067,4200,78,0
인천광역시 미추홀구,25_29,5393,7320,19,0
인천광역시 미추홀구,30_34,6618,7408,22,0
인천광역시 미추홀구,35_39,5949,6211,73,0
인천광역시 연수구,18_19,279,275,68,0
인천광역시 연수구,20_24,4094,3941,162,0
인천광역시 연수구,25_29,14002,5832,28,0
인천광역시 연수구,30_34,16010,5683,47,0
인천광역시 연수구,35_39,12987,4850,213,0
인천광역시 남동구,18_19,255,266,33,0
인천광역시 남동구,20_24,4451,4325,83,0
인천광역시 남동구,25_29,13118,8063,15,0
인천광역시 남동구,30_34,16126,8058,27,0
인천광역시 남동구,35_39,14649,6419,101,0
인천광역시 부평구,18_19,161,221,36,0
인천광역시 부평구,20_24,2847,4277,91,0
인천광역시 부평구,25_29,7987,8435,33,0
인천광역시 부평구,30_34,9300,9321,44,0
인천광역시 부평구,35_39,8778,7430,128,0
인천광역시 계양구,18_19,61,153,13,0
인천광역시 계양구,20_24,1413,2673,33,0
인천광역시 계양구,25_29,3895,4856,10,0
인천광역시 계양구,30_34,4555,5199,23,0
인천광역시 계양구,35_39,3997,3776,51,0
인천광역시 서구,18_19,314,378,43,0
인천광역시 서구,20_24,4438,5457,91,0
인천광역시 서구,25_29,13795,9501,23,0
인천광역시 서구,30_34,17823,10200,74,0
인천광역시 서구,35_39,17416,8909,252,0
인천광역시 강화군,18_19,22,38,0,0
인천광역시 강화군,20_24,312,394,7,0
인천광역시 강화군,25_29,805,573,1,0
인천광역시 강화군,30_34,1021,761,2,0
인천광역시 강화군,35_39,956,682,17,0
인천광역시 옹진군,18_19,2,12,0,0
인천광역시 옹진군,20_24,77,125,2,0
인천광역시 옹진군,25_29,210,142,0,0
인천광역시 옹진군,30_34,209,144,0,0
인천광역시 옹진군,35_39,228,149,1,0
광주광역시 동구,18_19,73,56,10,0
광주광역시 동구,20_24,1253,1226,51,0
광주광역시 동구,25_29,3599,1914,14,0
광주광역시 동구,30_34,3606,1649,10,0
광주광역시 동구,35_39,2931,1213,26,0
광주광역시 서구,18_19,146,189,43,0
광주광역시 서구,20_24,2421,3197,135,0
광주광역시 서구,25_29,7069,5608,22,0
광주광역시 서구,30_34,7352,4465,14,0
광주광역시 서구,35_39,6291,3357,55,0
광주광역시 남구,18_19,55,109,38,0
광주광역시 남구,20_24,1064,1900,120,0
광주광역시 남구,25_29,3033,3177,26,0
광주광역시 남구,30_34,3109,2732,13,0
광주광역시 남구,35_39,2735,2238,58,0
광주광역시 북구,18_19,369,268,49,0
광주광역시 북구,20_24,3590,4351,134,0
광주광역시 북구,25_29,10031,7484,46,0
광주광역시 북구,30_34,10360,6614,27,0
광주광역시 북구,35_39,8727,4973,111,0
광주광역시 광산구,18_19,230,318,45,0
광주광역시 광산구,20_24,4067,4630,82,0
광주광역시 광산구,25_29,10959,6708,20,0
광주광역시 광산구,30_34,11797,5435,32,0
광주광역시 광산구,35_39,10516,4172,112,0
대전광역시 동구,18_19,190,204,18,0
대전광역시 동구,20_24,2128,2879,47,0
대전광역시 동구,25_29,7085,3337,10,0
대전광역시 동구,30_34,9544,2888,16,0
대전광역시 동구,35_39,5829,2140,41,0
대전광역시 중구,18_19,180,133,26,0
대전광역시 중구,20_24,1911,2085,96,0
대전광역시 중구,25_29,4495,3437,20,0
대전광역시 중구,30_34,4626,3041,28,0
대전광역시 중구,35_39,3882,2322,48,0
대전광역시 서구,18_19,195,285,94,0
대전광역시 서구,20_24,3681,5057,213,0
대전광역시 서구,25_29,11460,9447,46,0
대전광역시 서구,30_34,12740,7737,43,0
대전광역시 서구,35_39,11191,5732,142,0
대전광역시 유성구,18_19,276,214,78,0
대전광역시 유성구,20_24,4668,4119,267,0
대전광역시 유성구,25_29,17492,7191,68,0
대전광역시 유성구,30_34,20804,5675,57,0
대전광역시 유성구,35_39,18194,4165,179,0
대전광역시 대덕구,18_19,106,109,10,0
대전광역시 대덕구,20_24,2057,1696,29,0
대전광역시 대덕구,25_29,6309,2524,6,0
대전광역시 대덕구,30_34,7722,2151,16,0
대전광역시 대덕구,35_39,7242,1721,24,0
울산광역시 중구,18_19,117,137,19,0
울산광역시 중구,20_24,1170,1610,47,0
울산광역시 중구,25_29,4176,2816,6,0
울산광역시 중구,30_34,5737,2677,11,0
울산광역시 중구,35_39,4927,2127,95,0
울산광역시 남구,18_19,139,228,43,0
울산광역시 남구,20_24,2518,2923,90,0
울산광역시 남구,25_29,8855,4959,21,0
울산광역시 남구,30_34,10689,4536,34,0
울산광역시 남구,35_39,9347,3356,106,0
울산광역시 동구,18_19,87,108,9,0
울산광역시 동구,20_24,1277,1226,18,0
울산광역시 동구,25_29,4381,1851,9,0
울산광역시 동구,30_34,4919,1697,12,0
울산광역시 동구,35_39,6477,1607,52,0
울산광역시 북구,18_19,98,197,11,0
울산광역시 북구,20_24,1269,1874,31,0
울산광역시 북구,25_29,4182,2808,11,0
울산광역시 북구,30_34,6037,2583,35,0
울산광역시 북구,35_39,5623,2116,92,0
울산광역시 울주군,18_19,159,201,21,0
울산광역시 울주군,20_24,2044,1947,54,0
울산광역시 울주군,25_29,6256,3030,15,0
울산광역시 울주군,30_34,9171,2528,22,0
울산광역시 울주군,35_39,8905,2022,51,0
세종특별자치시,18_19,247,256,115,0
세종특별자치시,20_24,3038,3125,249,0
세종특별자치시,25_29,9293,3930,64,0
세종특별자치시,30_34,11072,3970,64,0
세종특별자치시,35_39,10446,3712,277,0
경기도 수원시,18_19,1344,877,169,0
경기도 수원시,20_24,14230,13456,507,0
경기도 수원시,25_29,46465,22546,133,0
경기도 수원시,30_34,56823,20278,154,0
경기도 수원시,35_39,53049,14918,574,0
경기도 성남시,18_19,943,552,156,0
경기도 성남시,20_24,12923,8613,472,0
경기도 성남시,25_29,53790,14605,88,0
경기도 성남시,30_34,68413,14219,115,0
경기도 성남시,35_39,56523,11056,398,0
경기도 의정부시,18_19,145,224,26,0
경기도 의정부시,20_24,2103,4610,90,0
경기도 의정부시,25_29,5675,7928,16,0
경기도 의정부시,30_34,6379,7999,39,0
경기도 의정부시,35_39,5652,6704,115,0
경기도 안양시,18_19,328,294,99,0
경기도 안양시,20_24,5107,5045,237,0
경기도 안양시,25_29,17464,8427,47,0
경기도 안양시,30_34,20444,8213,66,0
경기도 안양시,35_39,17114,6727,247,0
경기도 부천시,18_19,489,434,75,0
경기도 부천시,20_24,5254,6997,204,0
경기도 부천시,25_29,14629,13354,48,0
경기도 부천시,30_34,17237,13276,58,0
경기도 부천시,35_39,15945,11015,199,0
경기도 광명시,18_19,102,178,32,0
경기도 광명시,20_24,1881,2636,108,0
경기도 광명시,25_29,5927,3866,20,0
경기도 광명시,30_34,7600,3673,20,0
경기도 광명시,35_39,7700,2974,99,0
경기도 동두천시,18_19,37,70,2,0
경기도 동두천시,20_24,412,792,9,0
경기도 동두천시,25_29,1064,1223,2,0
경기도 동두천시,30_34,1240,1248,5,0
경기도 동두천시,35_39,1244,1009,8,0
경기도 안산시,18_19,420,379,44,0
경기도 안산시,20_24,5864,7647,134,0
경기도 안산시,25_29,18679,12337,38,0
경기도 안산시,30_34,23616,11144,30,0
경기도 안산시,35_39,22017,8183,111,0
경기도 고양시,18_19,408,635,159,0
경기도 고양시,20_24,6204,9680,429,0
경기도 고양시,25_29,18049,18379,111,0
경기도 고양시,30_34,21317,18519,121,0
경기도 고양시,35_39,18926,14434,426,0
경기도 과천시,18_19,113,40,38,0
경기도 과천시,20_24,1957,747,78,0
경기도 과천시,25_29,7081,1267,20,0
경기도 과천시,30_34,7624,1167,21,0
경기도 과천시,35_39,5705,916,62,0
경기도 구리시,18_19,61,100,25,0
경기도 구리시,20_24,896,1704,62,0
경기도 구리시,25_29,2646,3182,13,0
경기도 구리시,30_34,3215,3180,12,0
경기도 구리시,35_39,2955,2536,59,0
경기도 평택시,18_19,502,460,41,0
경기도 평택시,20_24,6524,5505,88,0
경기도 평택시,25_29,21643,8814,28,0
경기도 평택시,30_34,26480,9147,75,0
경기도 평택시,35_39,23756,7864,217,0
경기도 남양주시,18_19,211,542,62,0
경기도 남양주시,20_24,3752,6991,170,0
경기도 남양주시,25_29,10160,10738,35,0
경기도 남양주시,30_34,12593,10776,58,0
경기도 남양주시,35_39,12441,9594,205,0
경기도 오산시,18_19,122,161,15,0
경기도 오산시,20_24,1639,2299,39,0
경기도 오산시,25_29,4564,3570,7,0
